Row Labels,Sum of High after 1 day3,Sum of High after 5 days3,Sum of High after 10 days3,Sum of High after 15 days3,Sum of High after 20 days3,Sum of High after 25 days3,Sum of High after 30 days3
bearish_engulfing,4.845507473,7.34464512,9.347246692,9.472873658,11.44301451,12.14206304,16.81400026
dark_cloud_cover,2.128130912,2.8048217,3.437367522,4.347381241,5.028778546,6.993840808,8.162313271
doji,19.72652376,25.10270629,30.09289616,38.3803156,48.76465,55.95192403,60.44711432
evening_star,0.182481144,0.342468968,0.877477976,0.725749832,0.558698411,0.422592974,0.308603096
hanging_man,0.896777054,1.08980811,0.997495206,1.057352942,0.981778668,0.895678786,0.854859754
shooting_star,0.838829757,1.045137399,1.102679161,1.779106099,1.895595223,2.51541822,1.706743119
Grand Total,28.6182501,37.72958759,45.85516272,55.76277937,68.67251535,78.92151786,88.29363383
,,,,,,,
,,,,,,,
Row Labels,Sum of High after 1 day2,Sum of High after 5 days2,Sum of High after 10 days2,Sum of High after 15 days2,Sum of High after 20 days2,Sum of High after 25 days2,Sum of High after 30 days2
bearish_engulfing,375,308,294,293,294,291,288
dark_cloud_cover,143,107,108,102,96,104,109
doji,1389,1086,1035,1031,1049,1070,1053
evening_star,15,11,14,12,10,10,10
hanging_man,77,64,56,61,58,52,51
shooting_star,57,45,41,40,37,34,31
Grand Total,2056,1621,1548,1539,1544,1561,1542
