Name,Date
Apple,2015-02-13
Google,2016-07-28
Google,2016-09-16
Google,2016-12-21
Google,2017-01-18
Google,2018-01-26
Google,2019-02-07
Amazon,2015-12-23
Amazon,2020-06-16
Tesla,2017-06-15
Tesla,2020-02-20
Microsoft,2016-01-29
Microsoft,2016-03-11
Microsoft,2017-08-02
Microsoft,2018-01-11
Microsoft,2018-08-02
Microsoft,2019-05-29
Microsoft,2019-07-29
McDonalds,2016-07-18
McDonalds,2017-12-11
McDonalds,2020-05-27
Tim Hortons,2016-03-24
Tim Hortons,2016-12-06
Tim Hortons,2017-01-23
Tim Hortons,2017-02-01
Tim Hortons,2019-07-02
Tim Hortons,2021-03-16
Wendys,2018-01-08
Wendys,2018-01-25
Wendys,2018-09-05
Wendys,2019-06-20
Wendys,2020-07-31
Wendys,2021-04-08
Pizza Hut,2016-02-26
Pizza Hut,2017-10-20
Pizza Hut,2017-12-28
Pizza Hut,2019-02-12
Pizza Hut,2019-09-04
Pizza Hut,2020-05-20
NRG Energy Inc,2016-04-01
NRG Energy Inc,2018-08-20
NRG Energy Inc,2019-08-20
NRG Energy Inc,2020-02-20
NRG Energy Inc,2020-05-06
NRG Energy Inc,2020-12-24
NRG Energy Inc,2021-06-10
Exxon Mobil Corporation,2015-10-12
Exxon Mobil Corporation,2016-03-18
Exxon Mobil Corporation,2016-07-12
Exxon Mobil Corporation,2018-05-01
Sunpower Corporation,2016-03-21
Sunpower Corporation,2017-11-20
Sunpower Corporation,2019-03-25
Suncor,2016-03-28
Suncor,2016-10-12
Suncor,2018-07-25
Suncor,2020-01-09
Pfizer Inc,2015-03-13
Pfizer Inc,2015-08-04
Pfizer Inc,2017-08-30
Pfizer Inc,2017-09-29
Pfizer Inc,2017-10-20
Pfizer Inc,2018-12-06
Pfizer Inc,2019-07-24
Pfizer Inc,2021-05-19
Pfizer Inc,2021-07-21
AbbVie Inc,2017-04-11
AbbVie Inc,2017-07-07
AbbVie Inc,2020-07-15
AbbVie Inc,2021-08-24
Merck and Co Inc,2015-06-02
Merck and Co Inc,2018-01-19
Merck and Co Inc,2018-06-21
Merck and Co Inc,2019-06-10
Merck and Co Inc,2020-08-07
Merck and Co Inc,2020-08-28
Novartis,2015-02-02
Novartis,2017-06-16
Novartis,2017-08-09
Novartis,2019-03-06
Novartis,2019-04-08
Novartis,2019-07-16
Novartis,2021-08-03
Johnson & Johnson,2015-10-28
Johnson & Johnson,2015-11-06
Johnson & Johnson,2016-06-23
Johnson & Johnson,2016-07-01
Johnson & Johnson,2016-08-05
Johnson & Johnson,2020-08-04
Johnson & Johnson,2021-03-25
Johnson & Johnson,2021-08-05
