,Name,Date,Pattern,Closing Price,High after 1 day,High after 2 days,High after 3 days,High after 4 days,High after 5 days,High after 6 days,High after 7 days,High after 8 days,High after 9 days,High after 10 days,High after 15 days,High after 20 days,High after 25 days,High after 30 days
0,Apple,2015-09-21,morning_star,28.802499771118164,28.545000076293945,28.68000030517578,28.875,29.172500610351562,28.642499923706055,28.377500534057617,27.885000228881836,27.405000686645508,27.752500534057617,27.842500686645508,28.1875,27.9375,29.532499313354492,30.34000015258789
1,Apple,2020-03-24,morning_star,61.720001220703125,64.5625,64.66999816894531,63.967498779296875,63.880001068115234,65.62249755859375,62.18000030517578,61.287498474121094,61.42499923706055,65.77749633789062,67.92500305175781,71.5824966430664,69.4749984741211,72.4175033569336,75.80999755859375
2,Google,2018-03-29,morning_star,1037.1400146484375,1039.530029296875,1025.0,1032.739990234375,1046.7099609375,1036.0,1044.5899658203125,1041.2099609375,1035.8699951171875,1044.6500244140625,1052.97998046875,1094.75,1051.699951171875,1051.8800048828125,1109.010009765625
3,Google,2019-05-03,morning_star,1189.550048828125,1195.4300537109375,1194.77001953125,1184.27001953125,1174.0699462890625,1176.280029296875,1151.969970703125,1144.8699951171875,1178.300048828125,1194.1600341796875,1186.2900390625,1154.3599853515625,1067.0,1094.8399658203125,1101.280029296875
4,Google,2020-03-24,morning_star,1130.010009765625,1146.1700439453125,1171.47998046875,1151.050048828125,1151.0,1173.4000244140625,1129.4200439453125,1122.77001953125,1118.7900390625,1190.75,1220.780029296875,1275.1099853515625,1279.8800048828125,1360.1500244140625,1368.68994140625
5,Google,2021-10-01,morning_star,2730.860107421875,2719.2099609375,2744.489990234375,2755.0,2800.840087890625,2806.6201171875,2814.239990234375,2790.139892578125,2760.0,2826.75,2834.360107421875,2811.659912109375,2943.159912109375,2943.159912109375,2943.159912109375
6,Tim Hortons,2018-10-31,morning_star,54.77000045776367,55.5,55.77000045776367,55.61000061035156,56.400001525878906,56.93000030517578,57.150001525878906,56.96500015258789,56.78499984741211,56.290000915527344,56.0,55.349998474121094,58.900001525878906,57.45000076293945,54.06999969482422
7,Tim Hortons,2021-08-23,morning_star,63.54999923706055,64.2699966430664,64.26000213623047,65.06999969482422,64.70999908447266,64.62000274658203,64.7300033569336,64.69999694824219,65.06999969482422,64.76000213623047,64.66000366210938,65.37000274658203,62.7400016784668,62.84000015258789,62.150001525878906
8,Wendys,2021-07-20,morning_star,22.239999771118164,22.81999969482422,22.950000762939453,23.139999389648438,23.030000686645508,23.610000610351562,23.469999313354492,23.5,23.389999389648438,23.40999984741211,23.34000015258789,22.260000228881836,23.65999984741211,23.799999237060547,23.09000015258789
9,Pizza Hut,2017-03-24,morning_star,63.58000183105469,63.599998474121094,64.7300033569336,64.69000244140625,64.2699966430664,64.37000274658203,63.9900016784668,64.0999984741211,64.9000015258789,64.7699966430664,64.79000091552734,64.18000030517578,66.0,66.01000213623047,69.43000030517578
10,Pizza Hut,2019-09-17,morning_star,112.80000305175781,114.61000061035156,114.73999786376953,114.87000274658203,114.51000213623047,114.51000213623047,112.2699966430664,113.81999969482422,113.44999694824219,113.80999755859375,113.41999816894531,113.41999816894531,113.5199966430664,112.30000305175781,110.54000091552734
11,Sunpower Corporation,2016-05-11,morning_star,11.36214828491211,11.71578311920166,11.080550193786621,11.250819206237793,11.028160095214844,11.021611213684082,10.654878616333008,10.438769340515137,10.97576904296875,11.218074798583984,11.584807395935059,11.52586841583252,11.296660423278809,9.71185302734375,10.130975723266602
12,Sunpower Corporation,2020-03-17,morning_star,3.510150909423828,3.6214799880981445,3.9227240085601807,4.020956039428711,4.099542140960693,4.53176212310791,4.8264570236206055,4.49246883392334,4.001309871673584,3.6673219203948975,3.595284938812256,3.935822010040283,4.282907962799072,4.2174201011657715,5.075311183929443
13,Suncor,2015-07-28,morning_star,25.65999984741211,26.719999313354492,28.56999969482422,28.469999313354492,28.290000915527344,28.280000686645508,28.6299991607666,28.649999618530273,29.020000457763672,29.06999969482422,28.829999923706055,27.940000534057617,26.0,27.649999618530273,27.010000228881836
14,Suncor,2016-01-21,morning_star,20.84000015258789,22.309999465942383,22.020000457763672,22.219999313354492,22.649999618530273,23.520000457763672,23.670000076293945,23.209999084472656,22.280000686645508,23.049999237060547,23.969999313354492,21.25,23.989999771118164,25.229999542236328,25.510000228881836
15,Suncor,2016-09-02,morning_star,27.43000030517578,27.649999618530273,27.68000030517578,27.809999465942383,27.40999984741211,26.90999984741211,26.440000534057617,26.360000610351562,26.389999389648438,26.079999923706055,26.34000015258789,26.459999084472656,27.93000030517578,28.639999389648438,28.68000030517578
16,Pfizer Inc,2015-07-07,morning_star,32.00189971923828,32.00189971923828,32.23908996582031,32.67552185058594,33.06451416015625,33.34914779663086,33.320682525634766,33.396583557128906,33.28273010253906,33.55787658691406,33.52941131591797,33.65275192260742,34.36432647705078,33.43453598022461,33.776092529296875
17,Pfizer Inc,2017-05-19,morning_star,30.796964645385742,30.834915161132812,30.62618637084961,30.62618637084961,30.55028533935547,30.63567352294922,30.65464973449707,31.110057830810547,31.166982650756836,31.195446014404297,30.910816192626953,31.39468765258789,31.546489715576172,32.457305908203125,32.2296028137207
18,AbbVie Inc,2019-03-26,morning_star,80.76000213623047,81.0,80.48999786376953,80.9000015258789,81.11000061035156,83.48999786376953,84.7300033569336,83.37999725341797,84.18000030517578,84.0,83.77999877929688,81.30000305175781,79.58999633789062,79.68000030517578,78.88999938964844
